"Species","Longitude","Latitude"
"CEOR",-73.0828,41.3267
"CEOR",-70.5916,41.579
"CEOR",-70.6736,41.5264
"CEOR",-70.6736,41.5264
"CEOR",-72.1059,41.3774
"CEOR",-70.457,41.6956
"CEOR",-72.1056,41.3785
"CEOR",-72.0987,41.3802
"CEOR",-70.9353,43.1382
"CEOR",-73.2258,41.1586
"CEOR",-73.1962,41.1863
"CEOR",-73.4202,41.0939
"CEOR",-73.3933,41.3044
"CEOR",-73.2262,41.1579
"CEOR",-73.2258,41.1586
"CEOR",-73.3933,41.3044
"CEOR",-73.1962,41.1863
"CEOR",-73.1813,41.1818
"CEOR",-72.4134,41.4117
"CEOR",-72.4156,41.3947
"CEOR",-72.8545,41.3039
"CEOR",-73.6846,41.0549
"CEOR",-73.6142,41.039
"CEOR",-73.5419,41.0469
"CEOR",-73.1302,41.2043
"CEOR",-73.1504,41.2468
"CEOR",-70.9352,43.1382
"CEOR",-72.8874,41.4296
"CEOR",-72.8046,41.4565
"CEOR",-72.6815,42.0002
"CEOR",-72.6815,42.0002
"CEOR",-72.4181,41.4131
"CEOR",-72.4117,41.3988
"CEOR",-72.9241,41.3101
"CEOR",-72.6476,41.9902
"CEOR",-72.9688,41.2689
"CEOR",-73.3969,41.2826
"CEOR",-70.9352,43.1382
"CEOR",-72.6442,41.8525
"CEOR",-70.9351,43.1391
"CEOR",-72.6018,42.5648
"CEOR",-70.3867,43.5006
"CEOR",-72.6019,42.5648
"CEOR",-69.0899,44.1314
"CEOR",-68.6297,44.0767
"CEOR",-70.3835,41.6339
"CEOR",-72.5157,42.792
"CEOR",-72.7059,42.3776
"CEOR",-70.8179,41.6258
"CEOR",-70.7783,42.7017
"CEOR",-72.6276,42.3196
"CEOR",-73.2541,42.4513
"CEOR",-72.941,41.6812
"CEOR",-72.3121,42.1929
"CEOR",-72.3254,42.1551
"CEOR",-73.2514,41.8277
"CEOR",-71.575,41.1917
"CEOR",-70.3913,43.5024
"CEOR",-70.7258,41.7672
"CEOR",-71.1018,42.3902
"CEOR",-70.0067,41.8925
"CEOR",-71.4508,41.9286
"CEOR",-71.814,42.2441
"CEOR",-70.9356,43.1376
"CEOR",-72.2413,41.8064
"CEOR",-73.272,41.1484
"CEOR",-69.9934,41.3247
"CEOR",-71.1883,41.5708
"CEOR",-71.4479,41.711
"CEOR",-71.2812,42.8868
"CEOR",-71.8214,43.1733
"CEOR",-71.9669,41.3542
"CEOR",-70.1569,41.6894
"CEOR",-72.6406,41.5562
"CEOR",-72.6151,42.2145
"CEOR",-72.7046,43.0729
"CEOR",-71.3941,42.4779
"CEOR",-73.5507,41.1331
"CEOR",-73.5515,41.1327
"CEOR",-70.1569,41.6894
"CEOR",-70.5935,43.2422
