Species,Longitude,Latitude
CEOR,-72.17715,41.76592
CEOR,-72.17537,41.76725
CEOR,-72.17694,41.76471
CEOR,-72.21852,41.80947
CEOR,-72.21683,41.80569
CEOR,-72.2154,41.80418
CEOR,-72.21048,41.79439
CEOR,-72.12787,41.81478
CEOR,-72.12885,41.79827
CEOR,-72.12743,41.7983
CEOR,-72.19775,41.83423
CEOR,-72.19715,41.83412
CEOR,-72.09591,41.78648
CEOR,-72.09583,41.78703
CEOR,-72.09854,41.79681
CEOR,-72.08828,41.77616
CEOR,-72.08972,41.77553
CEOR,-72.07912,41.77904
CEOR,-72.07944,41.79162
CEOR,-72.06255,41.8254
CEOR,-72.1513,41.78145
CEOR,-72.27207,41.99385
CEOR,-72.27563,41.99068
CEOR,-72.08175,41.77571
CEOR,-72.08485,41.8137
CEOR,-72.08521,41.80989
CEOR,-72.0862,41.81234
CEOR,-72.09428,41.81606
CEOR,-72.18007,41.84108
CEOR,-72.16853,41.84019
CEOR,-72.00657,41.86761
CEOR,-72.14701,41.75972
CEOR,-72.19231,41.77418
CEOR,-72.23868,41.79629
CEOR,-72.19263,41.7744
CEOR,-72.22713,41.81492
CEOR,-72.2381,41.7954
CEOR,-72.694436,42.178492
CEOR,-72.856441,42.319678
CEOR,-72.851461,42.316138
CEOR,-72.870522,42.292699
CEOR,-72.6928,42.1788
CEOR,-72.696056,42.179142
CEOR,-72.694386,42.179182
CEOR,-72.6487,42.24881
CEOR,-72.659795,41.503035
CEOR,-72.683983,41.537598
CEOR,-72.714163,41.569581
CEOR,-72.65125,42.2404
CEOR,-72.659609,41.501091
CEOR,-72.656503,41.549404
CEOR,-72.683497,41.531862
CEOR,-72.662584,41.502997
CEOR,-72.682339,41.530625
CEOR,-72.660471,41.587314
CEOR,-72.660537,41.58829
CEOR,-72.4679,42.97455
CEOR,-72.498977,42.708417
CEOR,-72.498977,42.707028
CEOR,-72.310085,42.681752
CEOR,-72.6596,41.5474
CEOR,-71.586729,41.477323
CEOR,-72.711111,42.381389
CEOR,-72.706944,42.435278
CEOR,-72.688889,42.434444
CEOR,-71.5624,41.2042
CEOR,-72.6023,41.1618
CEOR,-73.367682,42.024392
CEOR,-72.697446,42.179572
CEOR,-72.78051,41.86025
CEOR,-72.77511,41.86488
CEOR,-72.77646,41.86413
CEOR,-72.79251,41.78836
CEOR,-72.7981,41.7654
CEOR,-72.269443,42.03762
CEOR,-71.3181,41.6033
CEOR,-71.3181,41.6033
CEOR,-71.316667,41.583333
CEOR,-69.637742,44.658934
CEOR,-70.021996,44.291736
CEOR,-69.52421,44.0409
CEOR,-71.317,42.108709
CEOR,-70.4609,41.3553
CEOR,-72.837044,41.425097
CEOR,-72.837044,41.425097
CEOR,-72.874546,41.441764
CEOR,-72.874546,41.429264
CEOR,-71.415556,41.692222
CEOR,-71.457778,41.703333
CEOR,-71.459167,41.703333
CEOR,-70.510771,41.353329
CEOR,-72.259677,41.786477
CEOR,-72.259686,41.785912
CEOR,-73.684083,41.059306
CEOR,-72.818431,41.942319
CEOR,-72.258126,41.78145
CEOR,-71.66433,41.37266
CEOR,-71.72116,41.336
CEOR,-72.179011,41.823155
CEOR,-72.279585,41.782242
CEOR,-71.65716,41.36233
CEOR,-72.279974,41.783594
CEOR,-71.69866,41.36766
CEOR,-71.69633,41.36466
CEOR,-71.69633,41.36516
CEOR,-71.69716,41.36483
CEOR,-71.707845,41.708433
CEOR,-71.6638,41.6889
CEOR,-71.6292,41.5706
CEOR,-71.6292,41.5706
CEOR,-71.6292,41.5706
CEOR,-72.859167,42.2925
CEOR,-72.848889,42.335
CEOR,-71.209,41.59428
CEOR,-71.21028,41.54551
CEOR,-71.21038,41.54536
CEOR,-71.2072,41.5441
CEOR,-71.20835,41.54481
CEOR,-72.833931,42.261389
CEOR,-72.80016,42.159962
CEOR,-72.79914,42.158402
CEOR,-72.28326,41.43208
CEOR,-72.34159,41.41449
CEOR,-72.3071,41.39197
CEOR,-72.33004,41.47527
CEOR,-72.28746,41.42699
CEOR,-72.26597,41.43467
CEOR,-72.26416,41.43704
CEOR,-72.26306,41.43746
CEOR,-72.28248,41.47492
CEOR,-72.28556,41.47364
CEOR,-72.27343,41.48075
CEOR,-72.2734,41.48042
