Species,LON,LAT
bias,128.56875,27.370833
bias,128.53125,27.404167
bias,128.71875,27.4375
bias,128.96875,27.770833
bias,129.34375,28.2875
bias,129.49375,28.295833
bias,129.60625,28.470833
bias,129.70625,28.445833
bias,129.71875,28.454167
bias,129.69375,28.529167
bias,129.69375,29.6125
bias,129.70625,29.6375
bias,129.71875,29.6375
bias,130.41875,30.270833
bias,130.41875,30.270833
bias,130.48125,30.295833
bias,130.40625,30.320833
bias,130.45625,30.320833
bias,130.50625,30.3125
bias,130.50625,30.329167
bias,130.38125,30.354167
bias,130.95625,30.595833
bias,130.66875,30.995833
bias,130.66875,30.995833
bias,130.66875,30.995833
bias,130.66875,30.995833
bias,130.66875,30.995833
bias,130.66875,30.995833
bias,130.66875,30.995833
bias,130.66875,30.995833
bias,130.66875,30.995833
bias,130.66875,31.004167
bias,130.68125,31.004167
bias,130.68125,31.004167
bias,130.68125,31.004167
bias,130.83125,31.0875
bias,130.80625,31.1125
bias,130.80625,31.1125
bias,130.80625,31.1125
bias,130.80625,31.1125
bias,130.85625,31.1125
bias,130.85625,31.1125
bias,130.85625,31.1125
bias,130.85625,31.1125
bias,130.80625,31.120833
bias,130.80625,31.120833
bias,130.80625,31.120833
bias,130.85625,31.120833
bias,130.85625,31.120833
bias,130.85625,31.120833
bias,130.61875,31.179167
bias,130.61875,31.179167
bias,130.61875,31.179167
bias,130.90625,31.195833
bias,130.91875,31.245833
bias,130.23125,31.2625
bias,130.23125,31.2625
bias,130.23125,31.2625
bias,130.23125,31.2625
bias,130.51875,31.254167
bias,130.66875,31.254167
bias,130.84375,31.304167
bias,131.04375,30.820833
bias,129.73125,31.654167
bias,129.86875,31.8625
bias,130.15625,31.395833
bias,130.15625,31.404167
bias,130.19375,31.4125
bias,130.31875,31.404167
bias,130.79375,31.429167
bias,130.81875,31.4625
bias,130.33125,31.520833
bias,130.33125,31.520833
bias,130.33125,31.520833
bias,130.33125,31.520833
bias,130.33125,31.520833
bias,130.33125,31.520833
bias,130.79375,31.5125
bias,130.76875,31.529167
bias,130.76875,31.529167
bias,130.78125,31.529167
bias,130.55625,31.595833
bias,130.55625,31.595833
bias,130.56875,31.604167
bias,130.58125,31.6125
bias,130.65625,31.595833
bias,130.81875,31.6125
bias,130.19375,31.745833
bias,130.33125,31.670833
bias,130.33125,31.670833
bias,130.20625,31.754167
bias,130.20625,31.829167
bias,130.20625,31.8625
bias,130.20625,31.8625
bias,130.86875,31.870833
bias,130.84375,31.904167
bias,130.85625,31.904167
bias,130.85625,31.9125
bias,130.88125,31.8625
bias,130.89375,31.870833
bias,130.95625,31.870833
bias,130.96875,31.879167
bias,130.96875,31.879167
bias,130.96875,31.879167
bias,130.98125,31.879167
bias,130.98125,31.879167
bias,130.93125,31.8875
bias,130.98125,31.8875
bias,130.89375,31.895833
bias,130.89375,31.904167
bias,130.89375,31.904167
bias,130.88125,31.9125
bias,130.89375,31.9125
bias,130.89375,31.9125
bias,130.20625,31.979167
bias,130.36875,31.979167
bias,130.36875,31.979167
bias,130.48125,31.945833
bias,130.49375,31.979167
bias,130.46875,31.995833
bias,130.53125,31.970833
bias,130.63125,31.945833
bias,130.63125,31.945833
bias,130.63125,31.945833
bias,130.63125,31.945833
bias,130.65625,31.954167
bias,130.85625,31.929167
bias,130.85625,31.929167
bias,130.85625,31.929167
bias,130.86875,31.9375
bias,130.79375,31.954167
bias,130.79375,31.954167
bias,130.79375,31.954167
bias,130.86875,31.954167
bias,130.79375,31.9625
bias,130.78125,31.970833
bias,130.78125,31.970833
bias,130.79375,31.970833
bias,130.79375,31.970833
bias,130.79375,31.970833
bias,130.90625,31.920833
bias,130.89375,31.929167
bias,130.90625,31.929167
bias,130.91875,31.929167
bias,130.95625,31.954167
bias,130.93125,31.9875
bias,131.34375,31.3625
bias,131.34375,31.3625
bias,131.34375,31.3625
bias,131.34375,31.3625
bias,131.31875,31.379167
bias,131.04375,31.429167
bias,131.11875,31.429167
bias,131.20625,31.445833
bias,131.39375,31.5375
bias,131.39375,31.545833
bias,131.44375,31.6375
bias,131.46875,31.645833
bias,131.46875,31.645833
bias,131.36875,31.729167
bias,131.46875,31.7375
bias,131.46875,31.745833
bias,131.46875,31.745833
bias,131.26875,31.7625
bias,131.43125,31.770833
bias,131.40625,31.7875
bias,131.38125,31.795833
bias,131.38125,31.795833
bias,131.38125,31.804167
bias,131.39375,31.804167
bias,131.39375,31.804167
bias,131.30625,31.870833
bias,131.30625,31.879167
bias,131.29375,31.8875
bias,131.31875,31.895833
bias,131.01875,31.970833
bias,131.46875,31.954167
bias,131.46875,31.954167
bias,131.46875,31.954167
bias,131.46875,31.954167
bias,128.60625,32.6125
bias,128.60625,32.6125
bias,128.60625,32.6125
bias,128.60625,32.6125
bias,128.60625,32.6125
bias,128.61875,32.620833
bias,128.61875,32.620833
bias,128.61875,32.620833
bias,128.61875,32.629167
bias,128.63125,32.6625
bias,128.91875,32.5875
bias,129.99375,32.370833
bias,129.74375,32.579167
bias,129.74375,32.579167
bias,130.49375,32.020833
bias,130.49375,32.020833
bias,130.49375,32.020833
