Spp,POINT_X,POINT_Y
CEOR,130.05485,32.46755
CEOR,130.05485,33.46715
CEOR,130.13815,33.13395
CEOR,130.38805,32.13435
CEOR,130.47135,31.96775
CEOR,130.47135,32.55085
CEOR,130.47135,33.63375
CEOR,130.63795,33.80035
CEOR,130.80455,31.46795
CEOR,130.80455,32.80075
CEOR,130.80455,33.46715
CEOR,130.80455,33.71705
CEOR,130.80455,33.88365
CEOR,130.88785,31.88445
CEOR,130.88785,32.55085
CEOR,130.88785,33.71705
CEOR,130.88785,33.80035
CEOR,130.97115,32.96735
CEOR,130.97115,33.88365
CEOR,130.97115,33.96695
CEOR,131.05445,32.05105
CEOR,131.13775,31.46795
CEOR,131.13775,33.38385
CEOR,131.22105,31.46795
CEOR,131.22105,32.80075
CEOR,131.38765,33.30055
CEOR,131.47095,33.38385
CEOR,131.72085,34.46675
CEOR,131.80415,32.80075
CEOR,131.80415,34.30015
CEOR,131.80415,34.38345
CEOR,131.88745,34.55005
CEOR,132.05405,34.46675
CEOR,132.05405,34.55005
CEOR,132.13735,33.88365
CEOR,132.22065,34.13355
CEOR,132.22065,34.21685
CEOR,132.22065,34.55005
CEOR,132.22065,34.79995
CEOR,132.30395,34.38345
CEOR,132.38725,33.88365
CEOR,132.47055,34.38345
CEOR,132.47055,34.46675
CEOR,132.55385,34.88325
CEOR,132.63715,33.46715
CEOR,132.72045,33.46715
CEOR,132.72045,35.04985
CEOR,132.80375,33.46715
CEOR,132.80375,34.96655
CEOR,132.80375,35.29975
CEOR,132.88705,33.96695
CEOR,132.97035,34.96655
CEOR,133.05365,35.04985
CEOR,133.13695,33.71705
CEOR,133.13695,33.80035
CEOR,133.38685,33.88365
CEOR,133.38685,34.63335
CEOR,133.47015,34.88325
CEOR,133.96995,34.55005
CEOR,134.21985,34.21685
CEOR,134.30315,33.88365
CEOR,134.30315,34.55005
CEOR,134.30315,35.21645
CEOR,134.38645,35.46635
CEOR,134.46975,35.29975
CEOR,134.55305,34.05025
CEOR,135.13615,34.21685
CEOR,135.13615,35.46635
CEOR,135.21945,35.29975
CEOR,135.71925,33.63375
CEOR,135.71925,34.13355
CEOR,135.71925,35.29975
CEOR,135.88585,34.21685
CEOR,135.88585,35.21645
CEOR,135.96915,34.13355
CEOR,135.96915,34.21685
CEOR,136.13575,34.05025
CEOR,136.13575,34.38345
CEOR,136.38565,34.96655
CEOR,136.38565,35.21645
CEOR,136.55225,34.71665
CEOR,136.55225,35.79955
CEOR,136.63555,35.04985
CEOR,136.88545,36.29935
CEOR,136.96875,36.79915
CEOR,137.05205,35.88285
CEOR,137.13535,36.54925
CEOR,137.21865,36.04945
CEOR,137.21865,36.46595
CEOR,137.38525,35.96615
CEOR,137.55185,35.38305
CEOR,137.55185,35.63295
CEOR,137.55185,35.88285
CEOR,137.55185,36.21605
CEOR,137.63515,36.04945
CEOR,137.63515,36.71585
CEOR,137.63515,36.96575
CEOR,137.71845,35.88285
CEOR,137.71845,36.13275
CEOR,137.71845,36.46595
CEOR,137.71845,36.71585
CEOR,137.80175,35.21645
CEOR,137.80175,35.38305
CEOR,137.80175,35.88285
CEOR,137.80175,36.88245
CEOR,137.88505,35.13315
CEOR,137.88505,35.96615
CEOR,137.96835,36.04945
CEOR,137.96835,36.21605
CEOR,138.05165,36.21605
CEOR,138.05165,36.29935
CEOR,138.13495,35.38305
CEOR,138.13495,35.54965
CEOR,138.13495,35.63295
CEOR,138.13495,35.71625
CEOR,138.13495,36.13275
CEOR,138.13495,36.21605
CEOR,138.13495,36.29935
CEOR,138.13495,36.63255
CEOR,138.21825,35.38305
CEOR,138.21825,35.46635
CEOR,138.21825,35.96615
CEOR,138.21825,36.13275
CEOR,138.21825,36.38265
