"spec","lon","lat"
"pr_rose",18.375,-34.375
"pr_rose",18.875,-34.375
"pr_rose",19.125,-34.375
"pr_rose",19.375,-34.375
"pr_rose",18.375,-34.125
"pr_rose",18.625,-34.125
"pr_rose",18.875,-34.125
"pr_rose",20.125,-34.125
"pr_rose",18.375,-33.875
"pr_rose",18.625,-33.875
"pr_rose",18.875,-33.875
"pr_rose",18.375,-33.625
"pr_rose",18.625,-33.625
"pr_rose",18.875,-33.625
"pr_rose",19.625,-33.625
"pr_rose",18.375,-33.375
"pr_rose",18.875,-33.375
"pr_rose",18.375,-33.125
"pr_rose",18.375,-32.625
"pr_rose",18.625,-31.375
"pr_rose",18.375,-34.125
"pr_rose",19.625,-34.125
"pr_rose",19.125,-33.875
"pr_rose",19.375,-33.875
"pr_rose",18.125,-32.625
"pr_rose",19.125,-32.625
"pr_rose",19.125,-32.375
"pr_rose",18.875,-32.125
"pr_rose",19.125,-32.125
"pr_rose",18.875,-31.875
"pr_rose",19.125,-31.625
"pr_rose",19.375,-33.625
"pr_rose",19.625,-33.625
"pr_rose",19.875,-33.625
"pr_rose",20.125,-33.625
"pr_rose",19.875,-33.375
"pr_rose",20.375,-33.375
"pr_rose",20.625,-33.375
"pr_rose",20.875,-33.375
"pr_rose",21.375,-33.375
"pr_rose",21.875,-33.375
"pr_rose",22.125,-33.375
"pr_rose",20.375,-33.125
"pr_rose",20.625,-33.125
"pr_rose",20.875,-33.125
"pr_rose",19.375,-34.125
"pr_rose",19.125,-33.875
"pr_rose",22.375,-33.875
"pr_rose",18.875,-33.625
"pr_rose",19.125,-33.625
"pr_rose",19.125,-33.375
"pr_rose",19.375,-33.375
"pr_rose",18.375,-33.125
"pr_rose",19.125,-33.125
"pr_rose",19.375,-33.125
"pr_rose",19.625,-33.625
"pr_rose",19.125,-33.375
"pr_rose",19.375,-33.375
"pr_rose",19.125,-33.125
"pr_rose",19.375,-33.125
"pr_rose",19.125,-32.625
"pr_rose",19.375,-32.625
"pr_rose",19.125,-32.375
"pr_rose",18.875,-32.125
"pr_rose",19.125,-31.875
"pr_rose",19.375,-33.375
"pr_rose",19.625,-33.375
"pr_rose",19.125,-32.875
